,From,To,domain,label
0,AS59193 IIT Hyderabad,AS15169 Google LLC,google.com,1
1,AS59193 IIT Hyderabad,AS15169 Google LLC,fitbit.com,1
2,AS15169 Google LLC,AS396982 Google LLC,fitbit.com,1
3,AS59193 IIT Hyderabad,AS55824 NKN Core Network,ed.ac.uk,1
4,AS55824 NKN Core Network,AS20965 GEANT Vereniging,ed.ac.uk,1
5,AS20965 GEANT Vereniging,AS786 Jisc Services Limited,ed.ac.uk,1
6,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,harvard.edu,1
7,AS55836 Reliance Jio Infocomm Limited,"AS54113 Fastly, Inc.",harvard.edu,1
8,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,delugerpg.com,1
9,AS55836 Reliance Jio Infocomm Limited,"AS13335 Cloudflare, Inc.",delugerpg.com,1
10,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,friv.com,1
11,AS55836 Reliance Jio Infocomm Limited,AS4637 Telstra Global,friv.com,1
12,AS4637 Telstra Global,AS6453 TATA COMMUNICATIONS (AMERICA) INC,friv.com,1
13,AS6453 TATA COMMUNICATIONS (AMERICA) INC,"AS30633 Leaseweb USA, Inc.",friv.com,1
14,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,kongregate.com,1
15,AS55836 Reliance Jio Infocomm Limited,"AS16509 Amazon.com, Inc.",kongregate.com,1
16,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,miniclip.com,1
17,AS55836 Reliance Jio Infocomm Limited,"AS16509 Amazon.com, Inc.",miniclip.com,1
18,AS59193 IIT Hyderabad,AS55836 Reliance Jio Infocomm Limited,notdoppler.com,1
19,AS55836 Reliance Jio Infocomm Limited,"AS13335 Cloudflare, Inc.",notdoppler.com,1
20,AS59193 IIT Hyderabad,"AS16509 Amazon.com, Inc.",guinnessworldrecords.com,1
21,AS59193 IIT Hyderabad,AS55824 NKN Core Network,fearp.usp.br,1
