From,To,domain,label,TTL
10.2.0.1,37.19.199.156,google.com,3,2
37.19.199.156,185.229.188.174,google.com,3,3
185.229.188.174,62.115.191.217,google.com,3,4
62.115.191.217,72.14.204.154,google.com,3,5
72.14.204.154,142.250.63.91,google.com,3,6
142.250.63.91,142.250.224.245,google.com,3,7
142.250.224.245,172.217.165.142,google.com,3,8
10.2.0.1,37.19.199.156,youtube.com,3,2
37.19.199.156,185.229.188.174,youtube.com,3,3
185.229.188.174,62.115.191.217,youtube.com,3,4
62.115.191.217,72.14.204.154,youtube.com,3,5
72.14.204.154,142.251.66.217,youtube.com,3,6
142.251.66.217,216.239.40.167,youtube.com,3,7
216.239.40.167,142.251.40.206,youtube.com,3,8
10.2.0.1,37.19.199.157,fitbit.com,3,2
37.19.199.157,185.229.188.176,fitbit.com,3,3
185.229.188.176,62.115.191.217,fitbit.com,3,4
62.115.191.217,72.14.204.154,fitbit.com,3,5
72.14.204.154,142.251.67.163,fitbit.com,3,6
142.251.67.163,216.239.40.187,fitbit.com,3,7
216.239.40.187,34.149.183.214,fitbit.com,3,8
10.2.0.1,37.19.199.157,socratic.com,3,2
37.19.199.157,185.229.188.172,socratic.com,3,3
185.229.188.172,213.248.70.121,socratic.com,3,4
213.248.70.121,72.14.204.154,socratic.com,3,5
72.14.204.154,142.250.234.37,socratic.com,3,6
142.250.234.37,216.239.43.63,socratic.com,3,7
216.239.43.63,216.239.36.21,socratic.com,3,8
10.2.0.1,37.19.199.156,ed.ac.uk,3,2
37.19.199.156,185.229.188.174,ed.ac.uk,3,3
185.229.188.174,62.115.191.217,ed.ac.uk,3,4
62.115.191.217,62.115.143.14,ed.ac.uk,3,5
62.115.143.14,62.115.120.239,ed.ac.uk,3,7
62.115.120.239,62.115.175.131,ed.ac.uk,3,8
62.115.175.131,146.97.35.197,ed.ac.uk,3,9
146.97.35.197,146.97.33.2,ed.ac.uk,3,10
146.97.33.2,146.97.33.22,ed.ac.uk,3,11
146.97.33.22,146.97.33.42,ed.ac.uk,3,12
146.97.33.42,146.97.33.54,ed.ac.uk,3,13
146.97.33.54,146.97.38.38,ed.ac.uk,3,14
146.97.38.38,146.97.74.34,ed.ac.uk,3,15
146.97.74.34,146.97.156.78,ed.ac.uk,3,16
146.97.156.78,192.41.103.209,ed.ac.uk,3,17
192.41.103.209,129.215.97.20,ed.ac.uk,3,20
10.2.0.1,37.19.199.156,harvard.edu,3,2
37.19.199.156,185.229.188.170,harvard.edu,3,3
185.229.188.170,154.54.3.125,harvard.edu,3,5
154.54.3.125,154.54.90.58,harvard.edu,3,6
154.54.90.58,38.104.44.122,harvard.edu,3,7
38.104.44.122,151.101.66.133,harvard.edu,3,8
10.2.0.1,37.19.199.156,delugerpg.com,3,2
37.19.199.156,185.229.188.170,delugerpg.com,3,3
185.229.188.170,185.229.188.169,delugerpg.com,3,4
185.229.188.169,45.134.215.17,delugerpg.com,3,5
45.134.215.17,162.158.156.5,delugerpg.com,3,6
162.158.156.5,104.26.3.57,delugerpg.com,3,7
10.2.0.1,37.19.199.156,friv.com,3,2
37.19.199.156,185.229.188.174,friv.com,3,3
185.229.188.174,38.104.72.1,friv.com,3,4
38.104.72.1,154.54.3.125,friv.com,3,5
154.54.3.125,154.54.40.110,friv.com,3,6
154.54.40.110,154.54.30.66,friv.com,3,7
154.54.30.66,38.122.62.10,friv.com,3,8
38.122.62.10,173.208.126.45,friv.com,3,9
173.208.126.45,207.244.69.244,friv.com,3,10
10.2.0.1,37.19.199.156,kongregate.com,3,2
37.19.199.156,185.229.188.174,kongregate.com,3,3
185.229.188.174,96.87.9.185,kongregate.com,3,4
96.87.9.185,96.110.34.53,kongregate.com,3,5
96.110.34.53,68.86.86.86,kongregate.com,3,6
68.86.86.86,68.86.83.181,kongregate.com,3,7
68.86.83.181,96.110.37.65,kongregate.com,3,8
96.110.37.65,96.110.36.130,kongregate.com,3,9
96.110.36.130,50.242.150.106,kongregate.com,3,10
50.242.150.106,18.238.4.118,kongregate.com,3,17
10.2.0.1,37.19.199.157,miniclip.com,3,2
37.19.199.157,185.229.188.172,miniclip.com,3,3
185.229.188.172,75.149.231.93,miniclip.com,3,4
75.149.231.93,96.110.34.49,miniclip.com,3,5
96.110.34.49,68.86.86.82,miniclip.com,3,6
68.86.86.82,68.86.83.181,miniclip.com,3,7
68.86.83.181,96.110.37.65,miniclip.com,3,8
96.110.37.65,96.110.36.130,miniclip.com,3,9
96.110.36.130,50.242.150.106,miniclip.com,3,10
50.242.150.106,52.93.60.223,miniclip.com,3,11
52.93.60.223,13.224.214.22,miniclip.com,3,18
