From,To,domain,label,TTL
192.168.1.1,223.230.16.1,google.com,4,2
223.230.16.1,182.71.238.93,google.com,4,3
182.71.238.93,182.79.142.218,google.com,4,4
182.79.142.218,72.14.205.196,google.com,4,5
72.14.205.196,142.250.228.186,google.com,4,7
142.250.228.186,108.170.253.121,google.com,4,8
108.170.253.121,142.250.56.38,google.com,4,9
142.250.56.38,108.170.248.193,google.com,4,10
108.170.248.193,142.250.214.109,google.com,4,11
142.250.214.109,142.250.214.107,google.com,4,12
142.250.214.107,142.250.183.14,google.com,4,13
192.168.1.1,223.230.16.1,fitbit.com,4,2
223.230.16.1,202.56.234.85,fitbit.com,4,3
202.56.234.85,116.119.112.18,fitbit.com,4,4
116.119.112.18,142.250.169.206,fitbit.com,4,5
142.250.169.206,142.251.71.187,fitbit.com,4,6
142.251.71.187,142.251.55.243,fitbit.com,4,7
142.251.55.243,34.149.183.214,fitbit.com,4,8
192.168.1.1,223.230.16.1, harvard.edu,4,2
223.230.16.1,59.144.94.157, harvard.edu,4,3
59.144.94.157,182.79.142.189, harvard.edu,4,4
182.79.142.189,182.79.245.155, harvard.edu,4,5
182.79.245.155,151.101.130.133, harvard.edu,4,21
192.168.1.1,223.230.16.1,ed.ac.uk ,4,2
223.230.16.1,182.71.238.101,ed.ac.uk ,4,3
182.71.238.101,182.79.134.141,ed.ac.uk ,4,4
182.79.134.141,94.31.40.4,ed.ac.uk ,4,5
94.31.40.4,195.66.224.15,ed.ac.uk ,4,10
195.66.224.15,146.97.35.169,ed.ac.uk ,4,11
146.97.35.169,146.97.33.62,ed.ac.uk ,4,12
146.97.33.62,146.97.33.29,ed.ac.uk ,4,13
146.97.33.29,129.215.97.67,ed.ac.uk ,4,26
192.168.1.1,223.230.16.1,youtube.com ,4,2
223.230.16.1,202.56.234.81,youtube.com ,4,3
202.56.234.81,142.250.169.206,youtube.com ,4,5
142.250.169.206,209.85.251.159,youtube.com ,4,6
209.85.251.159,108.170.253.119,youtube.com ,4,7
108.170.253.119,142.250.212.0,youtube.com ,4,8
142.250.212.0,108.170.248.209,youtube.com ,4,9
108.170.248.209,142.250.228.51,youtube.com ,4,10
142.250.228.51,172.217.174.78,youtube.com ,4,11
192.168.1.1,223.230.16.1,socratic.org ,4,2
223.230.16.1,182.71.238.93,socratic.org ,4,3
182.71.238.93,182.79.142.216,socratic.org ,4,4
182.79.142.216,142.250.169.206,socratic.org ,4,5
142.250.169.206,142.250.208.105,socratic.org ,4,6
142.250.208.105,216.239.56.65,socratic.org ,4,7
216.239.56.65,216.239.32.21,socratic.org ,4,8
192.168.1.1,223.230.16.1,m.delugerpg.com ,4,2
223.230.16.1,59.144.94.165,m.delugerpg.com ,4,3
59.144.94.165,116.119.104.146,m.delugerpg.com ,4,4
116.119.104.146,182.79.161.173,m.delugerpg.com ,4,5
182.79.161.173,172.70.216.3,m.delugerpg.com ,4,6
172.70.216.3,172.67.69.31,m.delugerpg.com ,4,8
192.168.1.1,223.230.16.1, friv.com ,4,2
223.230.16.1,202.56.234.85, friv.com ,4,3
202.56.234.85,182.79.198.129, friv.com ,4,4
182.79.198.129,62.115.42.118, friv.com ,4,5
62.115.42.118,62.115.124.56, friv.com ,4,6
62.115.124.56,207.244.69.244, friv.com ,4,23
192.168.1.1,223.230.16.1,m.kongregate.com,4,2
223.230.16.1,182.71.238.93,m.kongregate.com,4,3
182.71.238.93,149.14.224.161,m.kongregate.com,4,5
149.14.224.161,130.117.2.65,m.kongregate.com,4,6
130.117.2.65,154.54.56.130,m.kongregate.com,4,7
154.54.56.130,154.54.38.66,m.kongregate.com,4,8
154.54.38.66,149.6.165.74,m.kongregate.com,4,9
149.6.165.74,199.232.169.36,m.kongregate.com,4,10
223.230.16.1,223.230.16.1,miniclip.com ,4,2
223.230.16.1,202.56.234.85,miniclip.com ,4,3
202.56.234.85,116.119.57.201,miniclip.com ,4,4
116.119.57.201,99.82.179.122,miniclip.com ,4,5
99.82.179.122,52.93.19.241,miniclip.com ,4,6
52.93.19.241,52.93.19.35,miniclip.com ,4,7
52.93.19.35,15.230.133.19,miniclip.com ,4,14
15.230.133.19,18.67.161.53,miniclip.com ,4,15
