IP,label,loc
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.93,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
149.14.224.161,AS174 Cogent Communications,"25.0731,55.298"
130.117.2.65,AS174 Cogent Communications,"45.764,4.83566"
154.54.56.130,AS174 Cogent Communications,"48.8566,2.35222"
154.54.38.66,AS174 Cogent Communications,"48.8566,2.35222"
149.6.165.74,AS174 Cogent Communications,"48.8676,2.34547"
199.232.169.36,"AS54113 Fastly, Inc.","48.8323,2.4075"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
202.56.234.85,AS9498 BHARTI Airtel Ltd.,"28.6328,77.2204"
116.119.57.201,AS9498 BHARTI Airtel Ltd.,"28.4969,77.0813"
18.67.161.53,"AS16509 Amazon.com, Inc.","13.0827,80.2707"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
202.56.234.85,AS9498 BHARTI Airtel Ltd.,"28.6328,77.2204"
182.79.223.41,AS9498 BHARTI Airtel Ltd.,"28.6139,77.209"
172.67.22.126,"AS13335 Cloudflare, Inc.","43.6532,-79.3832"
