IP,label,loc
103.232.241.70,AS59193 IIT Hyderabad,"17.411,78.4487"
103.232.241.2,AS59193 IIT Hyderabad,"17.411,78.4487"
157.240.68.238,"AS32934 Facebook, Inc.","19.076,72.8777"
157.240.44.31,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.38.255,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.16.174,"AS32934 Facebook, Inc.","19.0748,72.8856"
109.236.95.226,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
72.14.195.126,AS15169 Google LLC,"37.422,-122.084"
108.170.241.161,AS15169 Google LLC,"37.422,-122.084"
172.253.71.201,AS15169 Google LLC,"37.422,-122.084"
142.251.36.14,AS15169 Google LLC,"52.3667,4.89454"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.224,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
72.14.195.126,AS15169 Google LLC,"37.422,-122.084"
108.170.241.193,AS15169 Google LLC,"37.422,-122.084"
172.253.66.185,AS15169 Google LLC,"37.422,-122.084"
216.58.208.110,AS15169 Google LLC,"40.4953,-111.9439"
190.2.138.2,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.224,AS49981 WorldStream B.V.,"51.9934,4.2158"
109.236.95.108,AS49981 WorldStream B.V.,"51.9934,4.2158"
5.56.21.189,AS201011 Core-Backbone GmbH,"49.4521,11.0767"
80.255.15.166,AS201011 Core-Backbone GmbH,"53.627,10.0281"
195.66.224.15,AS34984 Superonline Iletisim Hizmetleri A.S.,"51.5108,-0.0810928"
146.97.35.169,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.62,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.29,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.49,AS786 Jisc Services Limited,"51.5153,-0.10931"
