IP,AS,Range
223.230.16.1,AS24560,223.230.16.0/24
223.230.16.1,AS24560,223.230.16.0/24
223.230.16.1,AS24560,223.230.16.0/24
143.107.205.12,AS28571,143.107.0.0/16
143.107.159.1,AS28571,143.107.0.0/16
143.107.22.245,AS28571,143.107.0.0/16
143.107.159.94,AS28571,143.107.0.0/16
143.107.159.94,AS28571,143.107.0.0/16
143.107.0.10,AS28571,143.107.0.0/16
143.107.205.12,AS28571,143.107.0.0/16
143.107.0.184,AS28571,143.107.0.0/16
143.107.205.12,AS28571,143.107.0.0/16
143.107.159.1,AS28571,143.107.0.0/16
143.107.0.184,AS28571,143.107.0.0/16
143.107.0.14,AS28571,143.107.0.0/16
143.107.159.94,AS28571,143.107.0.0/16
143.107.205.12,AS28571,143.107.0.0/16
143.107.159.1,AS28571,143.107.0.0/16
143.107.0.14,AS28571,143.107.0.0/16
143.107.0.184,AS28571,143.107.0.0/16
207.244.69.244,AS30633,207.244.64.0/18
207.244.69.244,AS30633,207.244.64.0/18
173.208.126.45,AS30633,173.208.126.0/24
207.244.69.244,AS30633,207.244.64.0/18
173.208.126.45,AS30633,173.208.126.0/24
207.244.69.244,AS30633,207.244.64.0/18
80.249.210.100,AS3267,80.249.208.0/21
80.249.210.100,AS3267,80.249.208.0/21
80.249.210.100,AS3267,80.249.208.0/21
157.240.38.255,AS32934,157.240.0.0/17
157.240.44.31,AS32934,157.240.0.0/17
157.240.16.174,AS32934,157.240.16.0/24
173.252.67.121,AS32934,173.252.64.0/19
157.240.247.174,AS32934,157.240.247.0/24
157.240.103.104,AS32934,157.240.0.0/17
129.134.48.47,AS32934,129.134.0.0/17
157.240.38.191,AS32934,157.240.0.0/17
157.240.107.95,AS32934,157.240.0.0/17
157.240.75.4,AS32934,157.240.0.0/17
157.240.16.35,AS32934,157.240.16.0/24
157.240.38.141,AS32934,157.240.0.0/17
157.240.35.63,AS32934,157.240.0.0/17
157.240.66.204,AS32934,157.240.0.0/17
129.134.47.194,AS32934,129.134.0.0/17
157.240.228.174,AS32934,157.240.192.0/18
173.252.67.113,AS32934,173.252.64.0/19
31.13.71.174,AS32934,31.13.71.0/24
157.240.68.40,AS32934,157.240.0.0/17
129.134.101.67,AS32934,129.134.0.0/17
157.240.68.238,AS32934,157.240.0.0/17
157.240.70.60,AS32934,157.240.0.0/17
157.240.228.35,AS32934,157.240.192.0/18
31.13.71.36,AS32934,31.13.71.0/24
157.240.38.183,AS32934,157.240.0.0/17
157.240.247.35,AS32934,157.240.247.0/24
173.252.67.137,AS32934,173.252.64.0/19
129.134.48.53,AS32934,129.134.0.0/17
129.134.47.194,AS32934,129.134.0.0/17
157.240.70.60,AS32934,157.240.0.0/17
157.240.38.149,AS32934,157.240.0.0/17
157.240.107.173,AS32934,157.240.0.0/17
157.240.75.4,AS32934,157.240.0.0/17
157.240.103.100,AS32934,157.240.0.0/17
195.66.224.15,AS34984,195.66.224.0/19
195.66.224.15,AS34984,195.66.224.0/19
34.149.183.214,AS396982,34.148.0.0/14
34.149.183.214,AS396982,34.148.0.0/14
34.149.183.214,AS396982,34.148.0.0/14
34.149.183.214,AS396982,34.148.0.0/14
210.57.38.112,AS4637,210.57.38.0/24
109.236.95.224,AS49981,109.236.80.0/20
190.2.138.3,AS49981,190.2.128.0/20
109.236.95.226,AS49981,109.236.80.0/20
190.2.138.2,AS49981,190.2.128.0/20
109.236.95.108,AS49981,109.236.80.0/20
109.236.95.167,AS49981,109.236.80.0/20
109.236.95.226,AS49981,109.236.80.0/20
190.2.138.3,AS49981,190.2.128.0/20
109.236.95.173,AS49981,109.236.80.0/20
109.236.95.230,AS49981,109.236.80.0/20
190.2.138.3,AS49981,190.2.128.0/20
190.2.138.3,AS49981,190.2.128.0/20
109.236.95.226,AS49981,109.236.80.0/20
109.236.95.108,AS49981,109.236.80.0/20
109.236.95.224,AS49981,109.236.80.0/20
109.236.95.230,AS49981,109.236.80.0/20
109.236.95.108,AS49981,109.236.80.0/20
109.236.95.226,AS49981,109.236.80.0/20
109.236.95.108,AS49981,109.236.80.0/20
109.236.95.226,AS49981,109.236.80.0/20
190.2.138.3,AS49981,190.2.128.0/20
190.2.138.3,AS49981,190.2.128.0/20
109.236.95.226,AS49981,109.236.80.0/20
109.236.95.108,AS49981,109.236.80.0/20
190.2.138.2,AS49981,190.2.128.0/20
109.236.95.224,AS49981,109.236.80.0/20
190.2.138.3,AS49981,190.2.128.0/20
190.2.138.2,AS49981,190.2.128.0/20
109.236.95.224,AS49981,109.236.80.0/20
190.2.138.2,AS49981,190.2.128.0/20
109.236.95.106,AS49981,109.236.80.0/20
109.236.95.228,AS49981,109.236.80.0/20
190.2.138.2,AS49981,190.2.128.0/20
109.236.95.108,AS49981,109.236.80.0/20
109.236.95.106,AS49981,109.236.80.0/20
109.236.95.108,AS49981,109.236.80.0/20
199.232.169.36,AS54113,199.232.168.0/22
151.101.130.133,AS54113,151.101.128.0/22
151.101.66.133,AS54113,151.101.64.0/22
151.101.66.133,AS54113,151.101.64.0/22
151.101.130.133,AS54113,151.101.128.0/22
180.149.48.29,AS55824,180.149.48.0/24
180.149.48.2,AS55824,180.149.48.0/24
180.149.48.2,AS55824,180.149.48.0/24
180.149.48.18,AS55824,180.149.48.0/24
180.149.48.18,AS55824,180.149.48.0/24
180.149.48.13,AS55824,180.149.48.0/24
115.247.100.29,AS55836,115.247.100.0/22
115.247.100.29,AS55836,115.247.100.0/22
115.247.100.29,AS55836,115.247.100.0/22
115.247.100.29,AS55836,115.247.100.0/22
49.44.187.49,AS55836,49.44.128.0/17
115.247.100.29,AS55836,115.247.100.0/22
